Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
round_4,phase3,12,0,D1_1,1,0.00040360650447732513,0.9959260922821705,1.6395181554827106e-13,0.0036703012131895215
round_4,phase2,12,0,D1_1,1,0.00021274968060707797,0.9299378098199852,0.05282619099903253,0.01702324950037521
round_4,phase1,12,0,D1_1,3,3.864506717833787e-05,4.2059413629523697e-16,0.0002857425526219348,0.999675612380199
round_1,phase3,12,0,D1_1,0,0.9986047022531044,1.0199559002825315e-10,0.0013952966942945273,9.506061320897717e-10
round_1,phase2,12,0,D1_1,2,0.00023494797778110272,1.0960553771275435e-05,0.9997404223013795,1.3669167066588585e-05
round_1,phase1,12,0,D1_1,3,0.2898217378633288,0.004390818858587904,0.009882339096622918,0.6959051041814606
round_3,phase3,13,1,D1_1,3,0.0013308526874788275,0.08549048159601277,1.367036310883511e-06,0.9131772986801965
round_3,phase2,13,1,D1_1,1,0.0006346816263076806,0.724329292352451,0.002111197399898109,0.272924828621344
round_3,phase1,13,1,D1_1,1,7.611319872943149e-05,0.9815629868790219,2.2862544762191673e-08,0.018360877059704066
round_2,phase3,13,1,D1_1,1,0.03511981372602213,0.7861951934840592,0.12235419544896073,0.05633079734095829
round_2,phase2,13,1,D1_1,2,0.005581499333787039,0.06219670751514964,0.795728524428837,0.13649326872222534
round_2,phase1,13,1,D1_1,0,1.0,4.423787070656827e-26,5.1562600611550014e-17,1.6695757260463947e-21
round_4,phase3,13,1,D1_1,1,0.0004911304690229524,0.9848182535948351,4.738750307744069e-06,0.014685877185832624
round_4,phase2,13,1,D1_1,2,0.0007491513817368141,9.951452568877042e-05,0.9498467715963027,0.04930456249627043
round_4,phase1,13,1,D1_1,3,0.0023054761866349457,0.00048336803977425076,0.00045248406779300527,0.9967586717057985
round_1,phase3,13,1,D1_1,3,0.00020138072560886761,1.072614902357177e-07,0.02095874160839812,0.9788397704045031
round_1,phase2,13,1,D1_1,3,0.00022864201596818455,6.609945793875297e-09,0.3334057271851536,0.666365624188932
round_1,phase1,13,1,D1_1,2,0.007444954709944257,0.1475982484722754,0.6115184752590617,0.23343832155872019
round_3,phase3,14,0,D1_1,1,0.0003328178777099874,0.9811810317371747,4.034284105413197e-09,0.01848614635082999
round_3,phase2,14,0,D1_1,2,0.016961039354548388,0.2520462035492436,0.7305795922354164,0.0004131648607911581
