PLS1,Round,Phase,Individual,Puzzler,Cohort
-0.3640130769398705,round_1,phase1,22,0,D1_3
-3.250566491459991,round_3,phase3,23,0,D1_3
-1.9191882310815973,round_3,phase2,23,0,D1_3
-2.891492665083148,round_3,phase1,23,0,D1_3
-2.1115880486290797,round_2,phase3,23,0,D1_3
-2.129722677431375,round_2,phase2,23,0,D1_3
-2.777385021048092,round_2,phase1,23,0,D1_3
-3.842552116769826,round_4,phase3,23,0,D1_3
-3.112609051151587,round_4,phase2,23,0,D1_3
-0.8849349745566248,round_4,phase1,23,0,D1_3
-2.1565440864201673,round_1,phase3,23,0,D1_3
-1.1667854648192797,round_1,phase2,23,0,D1_3
-2.8532521631436403,round_1,phase1,23,0,D1_3
-1.7853789211142652,round_3,phase3,24,1,D1_3
-1.6219301646745312,round_3,phase2,24,1,D1_3
-0.7673259560760877,round_3,phase1,24,1,D1_3
-1.286865017294617,round_2,phase3,24,1,D1_3
-1.2185920099167242,round_2,phase2,24,1,D1_3
-0.33710427312207375,round_2,phase1,24,1,D1_3
-1.962991250482304,round_4,phase3,24,1,D1_3
-2.0001555723350495,round_4,phase2,24,1,D1_3
-2.2544502771378014,round_4,phase1,24,1,D1_3
-1.1116260491734304,round_1,phase3,24,1,D1_3
-1.2459091767848995,round_1,phase2,24,1,D1_3
-1.1853600457857378,round_1,phase1,24,1,D1_3
-0.47096580174247205,round_3,phase3,25,0,D1_5
1.5181641863207942,round_3,phase2,25,0,D1_5
-0.6394803728315166,round_3,phase1,25,0,D1_5
0.8052395369824005,round_2,phase3,25,0,D1_5
-2.186395052203729,round_2,phase2,25,0,D1_5
-1.2586625568694902,round_2,phase1,25,0,D1_5
-0.5182143650026678,round_4,phase3,25,0,D1_5
-1.9462783525514482,round_4,phase2,25,0,D1_5
-1.1733708474875368,round_4,phase1,25,0,D1_5
-0.2660715839182569,round_1,phase3,25,0,D1_5
-0.4360676355136559,round_1,phase2,25,0,D1_5
1.112725906864748,round_1,phase1,25,0,D1_5
-2.7007071498803574,round_3,phase3,26,1,D1_5
-2.009110828745351,round_3,phase2,26,1,D1_5
-3.745658068427105,round_3,phase1,26,1,D1_5
-1.9620298773762945,round_2,phase3,26,1,D1_5
-1.358931241961637,round_2,phase2,26,1,D1_5
-2.467835632461996,round_2,phase1,26,1,D1_5
-1.693960414654927,round_4,phase3,26,1,D1_5
-1.2744143216197201,round_4,phase2,26,1,D1_5
-2.510589821131644,round_4,phase1,26,1,D1_5
-2.7346121761534645,round_1,phase3,26,1,D1_5
-2.87396768609805,round_1,phase2,26,1,D1_5
-2.4366763165559213,round_1,phase1,26,1,D1_5
