Round,Phase,Individual,Puzzler,Cohort,pa_score,na_score,emotional_cluster_id,emotional_cluster,prob_emotional_0,prob_emotional_1,prob_emotional_2,prob_emotional_3
round_1,phase2,8,0,D1_1,3.8,1.5,3,Alert/Anxious,6.101606766013449e-12,0.3505793428148514,7.419840272053384e-16,0.6494206571790463
round_1,phase1,8,0,D1_1,2.6,1.1666666666666667,1,Tense/Stressed,0.0047292359167645836,0.8626925734644232,0.000986130170075,0.1315920604487371
round_3,phase3,9,1,D1_1,1.6,1.3333333333333333,1,Tense/Stressed,1.8924458108982386e-07,0.8851786152361216,0.00041522317775311826,0.11440597234154412
round_3,phase2,9,1,D1_1,2.0,1.8333333333333333,3,Alert/Anxious,7.44584396579826e-29,0.01120403235415467,8.828133197092897e-20,0.9887959676458454
round_3,phase1,9,1,D1_1,2.0,1.3333333333333333,1,Tense/Stressed,3.152669789347809e-07,0.8641643645759318,0.00010580539720238345,0.1357295147598868
round_2,phase3,9,1,D1_1,1.8,1.5,1,Tense/Stressed,1.143359475043523e-12,0.6703288924708999,6.00569971925036e-08,0.3296710474709595
round_2,phase2,9,1,D1_1,2.6,1.0,0,Engaged/Calm,0.5645490860030513,0.3353388267376613,0.016311706342762942,0.08380038091652443
round_2,phase1,9,1,D1_1,1.8,1.5,1,Tense/Stressed,1.143359475043523e-12,0.6703288924708999,6.00569971925036e-08,0.3296710474709595
round_4,phase3,9,1,D1_1,1.8,1.5,1,Tense/Stressed,1.143359475043523e-12,0.6703288924708999,6.00569971925036e-08,0.3296710474709595
round_4,phase2,9,1,D1_1,2.6,1.0,0,Engaged/Calm,0.5645490860030513,0.3353388267376613,0.016311706342762942,0.08380038091652443
round_4,phase1,9,1,D1_1,2.250104760916918,1.3419078242229368,1,Tense/Stressed,2.4616396184505756e-07,0.841850120547511,1.9985733558587808e-05,0.15812964755496856
round_1,phase3,9,1,D1_1,1.6,1.3333333333333333,1,Tense/Stressed,1.8924458108982386e-07,0.8851786152361216,0.00041522317775311826,0.11440597234154412
round_1,phase2,9,1,D1_1,2.4,1.1666666666666667,1,Tense/Stressed,0.0037587942514964627,0.8740584698163887,0.004178171611677423,0.11800456432043738
round_1,phase1,9,1,D1_1,2.4,1.1666666666666667,1,Tense/Stressed,0.0037587942514964627,0.8740584698163887,0.004178171611677423,0.11800456432043738
round_3,phase3,10,1,D1_1,2.4,1.1666666666666667,1,Tense/Stressed,0.0037587942514964627,0.8740584698163887,0.004178171611677423,0.11800456432043738
round_3,phase2,10,1,D1_1,3.0,1.5,3,Alert/Anxious,3.7339108034061176e-12,0.4995821110156792,1.60426174678027e-11,0.5004178889645442
round_3,phase1,10,1,D1_1,2.0,1.3333333333333333,1,Tense/Stressed,3.152669789347809e-07,0.8641643645759318,0.00010580539720238345,0.1357295147598868
round_2,phase3,10,1,D1_1,2.0,2.0,3,Alert/Anxious,7.906182204239585e-40,0.0002419085066559926,1.0902822412769663e-27,0.999758091493344
round_2,phase2,10,1,D1_1,3.0,2.0,3,Alert/Anxious,1.4456812121211066e-39,0.00013140824092925703,4.63097450973587e-31,0.9998685917590706
round_2,phase1,10,1,D1_1,1.8,1.3333333333333333,1,Tense/Stressed,2.4535489654092867e-07,0.8754685411674069,0.00023384136124099462,0.12429737211645564
round_4,phase3,10,1,D1_1,2.0,2.0,3,Alert/Anxious,7.906182204239585e-40,0.0002419085066559926,1.0902822412769663e-27,0.999758091493344
round_4,phase2,10,1,D1_1,2.4,2.6666666666666665,3,Alert/Anxious,4.949160850948471e-101,6.839724138306656e-15,2.1430082802056615e-73,0.9999999999999933
round_4,phase1,10,1,D1_1,2.0,1.3333333333333333,1,Tense/Stressed,3.152669789347809e-07,0.8641643645759318,0.00010580539720238345,0.1357295147598868
round_1,phase3,10,1,D1_1,2.6,1.1666666666666667,1,Tense/Stressed,0.0047292359167645836,0.8626925734644232,0.000986130170075,0.1315920604487371
round_1,phase2,10,1,D1_1,3.6,1.3333333333333333,1,Tense/Stressed,1.6091489875848994e-06,0.6878657659860186,6.669314706650697e-11,0.3121326247983006
round_1,phase1,10,1,D1_1,3.0,1.5,3,Alert/Anxious,3.7339108034061176e-12,0.4995821110156792,1.60426174678027e-11,0.5004178889645442
round_3,phase3,11,0,D1_1,1.9825806451612906,1.1666666666666667,1,Tense/Stressed,0.0021902607957993963,0.8645636426658351,0.04070336666375556,0.09254272987461
round_3,phase2,11,0,D1_1,2.8,1.3333333333333333,1,Tense/Stressed,7.800538992812543e-07,0.798486683498755,4.93296001825583e-07,0.20151204315134394
round_3,phase1,11,0,D1_1,2.436774193548387,1.3333333333333333,1,Tense/Stressed,5.275019941459103e-07,0.8328650086508517,8.733043059092729e-06,0.16712573080409507
round_2,phase3,11,0,D1_1,1.8,1.6666666666666667,3,Alert/Anxious,8.87243051947567e-20,0.19769481040518422,7.097934091682715e-13,0.802305189594106
round_2,phase2,11,0,D1_1,2.8,2.0,3,Alert/Anxious,1.3177284177233766e-39,0.0001505689531567724,3.424141300822805e-30,0.9998494310468434
round_2,phase1,11,0,D1_1,2.036774193548387,2.6666666666666665,3,Alert/Anxious,3.835134262122095e-101,8.385215154622011e-15,2.0281212157172614e-72,0.9999999999999916
round_4,phase3,11,0,D1_1,2.6,1.3333333333333333,1,Tense/Stressed,6.31628328553543e-07,0.818460676691627,2.6266654777632925e-06,0.18153606501456662
round_4,phase2,11,0,D1_1,2.2,1.8333333333333333,3,Alert/Anxious,8.649623178742735e-29,0.010068467271057622,2.9274476675391525e-20,0.9899315327289426
