UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,Round,Phase,Individual,Puzzler,Cohort
8.766814,2.5120037,5.2674017,2.07558,8.080542,4.682126,0.6307699,9.926332,2.2021897,1.2855641,round_2,phase3,6,1,D1_6
8.68178,2.6023781,5.216264,1.996099,8.338682,4.5900574,0.6621281,10.136724,2.1251538,1.3344444,round_2,phase2,6,1,D1_6
8.705841,2.6522498,5.2794685,1.7395746,8.265288,4.721345,0.4993542,9.838426,2.0128536,1.2983366,round_2,phase1,6,1,D1_6
8.699147,2.5265312,5.3377576,1.6657782,8.251797,4.6831007,0.4900309,9.820398,1.9754648,1.1519418,round_4,phase3,6,1,D1_6
8.639148,2.6481678,5.214862,1.8688257,8.365377,4.628271,0.58086157,10.0240555,2.0917983,1.4026228,round_4,phase2,6,1,D1_6
8.740189,2.7142837,5.211817,1.9377553,8.307202,4.7326484,0.63547266,10.018063,2.0851996,1.3024607,round_4,phase1,6,1,D1_6
8.630695,2.5978725,5.226773,1.9008391,8.259271,4.58809,0.5251835,9.950073,2.1180766,1.4577609,round_1,phase3,6,1,D1_6
8.620615,2.6192286,5.243533,1.6442604,8.377776,4.6459775,0.5218766,9.94026,2.0086203,1.2994174,round_1,phase2,6,1,D1_6
8.702516,2.7664492,5.166713,1.81492,8.272993,4.7837358,0.573454,9.867809,2.0672407,1.4289498,round_1,phase1,6,1,D1_6
9.272057,1.6844965,5.979067,2.2931266,8.541775,3.8594496,0.72789496,10.566073,1.2685584,-0.17349881,round_3,phase3,7,1,D1_1
8.760227,1.2428378,5.8859715,2.7933128,7.832446,4.210873,1.167739,10.344084,2.431083,-0.21389909,round_3,phase2,7,1,D1_1
8.7989855,1.5650884,5.968929,1.9981803,7.9615874,4.5301175,0.86751455,9.925428,2.057527,-0.20195483,round_3,phase1,7,1,D1_1
9.157002,1.4977815,6.0415163,2.2756288,8.428786,3.831489,0.7815861,10.538065,1.3649765,-0.33945963,round_2,phase3,7,1,D1_1
8.817052,1.1192645,6.044737,2.6315022,7.876023,4.104457,1.1008418,10.265367,2.2234242,-0.41383904,round_2,phase2,7,1,D1_1
9.127061,1.6539072,5.9893255,2.1171176,8.661088,3.7898746,0.73836,10.54787,1.2457236,-0.11653362,round_2,phase1,7,1,D1_1
8.967907,1.9213518,5.717033,2.1816187,8.041316,4.617173,0.959405,10.283599,2.1417336,-0.06999461,round_4,phase3,7,1,D1_1
9.066097,1.9379588,5.7521896,2.2795582,7.8936734,4.738128,0.9533984,10.149878,2.2004097,-0.09504012,round_4,phase2,7,1,D1_1
8.892568,1.6167113,5.822294,2.109309,7.9562488,4.4828997,0.9536968,10.349213,2.1001854,-0.34248924,round_4,phase1,7,1,D1_1
9.193351,1.605149,6.0204616,2.1720364,8.6917715,3.7184877,0.6975266,10.56549,1.1730078,-0.14196557,round_1,phase3,7,1,D1_1
9.019734,1.365502,6.0820203,2.1099737,8.398524,3.8709466,0.8293059,10.446813,1.5083479,-0.42573828,round_1,phase2,7,1,D1_1
