PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,Round,Phase,Individual,Puzzler,Cohort
-0.9062033524173942,-1.943474372964019,-2.3263981620089416,1.0130130776772788,-0.6326937017577535,-2.208218232786776,0.9180278800365311,2.3635641693007448,1.4501561410200552,-0.17310216085601451,-0.08442020213534572,-0.07910142343429256,1.087863885286033,0.09476627698570121,0.13544754960824576,-0.6480848008789867,-0.15779332435346555,1.5771285670245698,round_3,phase2,6,1,D1_6
-0.6173134071339733,4.274109613561285,-2.9509882273940975,7.847096827955482,-0.7984526420891862,-1.2536983623921543,0.7209021071375026,0.3759672560656706,1.2639958628849657,-1.8819417562367415,-0.04631473620506857,0.3759070712804945,-0.062493954998897164,1.0892668031425847,-0.41233706063270437,-0.510497332703902,-3.21619953860238,2.7978474501063038,round_3,phase1,6,1,D1_6
-0.4877193659543227,0.5658329902514008,-0.9012418871203344,-0.3460267242095752,-0.9517195051578419,0.19335310430022162,0.9582188189581377,-0.012029494341560875,1.4188528367923678,-1.2128651214619481,0.01963038022435274,0.10830249328692249,0.7645440745201533,0.3417880394522416,-0.31554513332156237,-0.48592697011182046,0.914961779609874,1.7041538999666326,round_2,phase3,6,1,D1_6
-0.7724505229819402,-1.9606921283755872,-2.605173450660399,0.602929383175618,-0.894706415029298,-0.8496308464774758,0.6556049917430041,1.4031462186114052,1.2799355682244122,-0.5617175494701269,-0.18137339093132812,-0.007092667603284493,0.874934463265311,-0.1363527979507526,0.10147831021293134,-0.6756705997459622,0.5741706364838376,1.2176379586167458,round_2,phase2,6,1,D1_6
-0.19949498651410688,-1.8516118378161848,-2.468661383972585,1.39341131895112,-0.9607565709835085,-1.363695223480312,0.7579403430111388,-1.0276176497293514,1.373001345603932,-0.5241587934007695,-0.005958595378024933,-0.8887566749429168,-0.4384430595564387,0.7347273909978321,-0.5874638808243549,-0.4936584478677959,0.6796950751740917,0.6935804847223896,round_2,phase1,6,1,D1_6
-0.21568909980465098,-1.7085925954671355,-2.7670146047281823,1.0937713204394073,-1.244446950281316,-1.6405944876002665,0.7252752457770902,-0.4799072724663387,1.1745901584045915,-0.5962363890867737,0.08982051677042772,0.18699855364536572,-0.8112501051363138,0.4108509090577133,0.08369252140251744,-0.4592688874616756,0.6297143491866865,0.03170800793838213,round_4,phase3,6,1,D1_6
-0.4805442380269186,-2.602160736469609,-2.386537513913301,1.513707547764377,-1.0873395004340356,-2.05083056323684,0.22209214596602417,1.191671212329788,1.2832515843142733,-0.2599204754796135,0.5299514794304595,0.431508050029699,0.933774276916977,0.1966311756988241,0.8010898908137803,0.10645602454598833,0.4827274690470622,0.5864741684729932,round_4,phase2,6,1,D1_6
-0.2245442168609654,-1.8919378651818086,-0.7370656295904936,0.7825080869222221,-0.9333706609643317,-1.3772084018139494,0.2655237453108248,0.8065420635462178,0.798842387830858,-0.8445745839895331,-0.05968347069642196,-0.09047188615886151,-0.03362946999078307,0.4367459504351084,2.4313524451359463,-0.5292128738202045,0.45831973059427683,0.26409808872194074,round_4,phase1,6,1,D1_6
-0.10500328763737263,-2.047138347373259,0.26430873029708857,1.9826618388739157,-1.2361826627117882,-1.4370361402119831,0.8586207940953391,0.581797930295097,1.2517705189561412,0.1518029056853396,0.9399403755890945,-1.0472492069658041,0.07318698465525073,0.5582967792962255,0.1387426896894531,0.776830939540202,0.34702773121238306,0.8947520930036948,round_1,phase3,6,1,D1_6
0.6793641963223674,-2.3850756704450573,-1.576978981045147,2.345531291660547,-0.06393345258430463,-2.030049276464493,-1.0577559071068632,0.9938932423612389,1.2795860867764297,-0.6366247943524181,0.437390302996607,1.8790566025944715,0.6665180131851424,0.4607208756992458,-0.9242179927129835,0.23959034866108572,-0.044356550957677585,-0.09875687593165951,round_1,phase2,6,1,D1_6
-0.3781819722475706,-1.9294319238148239,-1.2210282300688426,2.131234815570441,-0.5640921916719784,-1.448353957377839,0.42114205764497625,0.7890424832398344,1.2668679722603733,-0.31732648758962717,0.7078652481418525,-0.7019650652692134,-0.7896426791286897,0.14263119472944277,-0.005713259822133217,0.42699123780756276,0.8512089014370314,-0.32381430437428355,round_1,phase1,6,1,D1_6
-1.1994217039951385,-1.5452837717998091,-1.779650439116069,-0.05141456783837991,3.2399658098513413,-0.8089210164984008,-1.3554340763054462,3.0857749630349134,-1.0178458633119194,-0.6634927680982368,-0.17107654862233718,0.22339284581261756,-0.7018869630612462,0.5080924219665401,-0.9878568097196255,-0.47912847598359454,0.25400987320371077,0.5062072809243187,round_3,phase3,7,1,D1_1
