Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1
round_1,phase3,11,0,D1_1,0,0.9936282453927222,0.006371754607278778
round_1,phase2,11,0,D1_1,0,0.9996087926156397,0.00039120738436028543
round_1,phase1,11,0,D1_1,1,0.27197588440285436,0.7280241155971454
round_3,phase3,12,0,D1_1,1,0.18303879901499331,0.8169612009850056
round_3,phase2,12,0,D1_1,1,0.008943860440341098,0.9910561395596578
round_3,phase1,12,0,D1_1,1,0.34510302580384367,0.6548969741961547
round_2,phase3,12,0,D1_1,0,0.7173090950040794,0.28269090499592
round_2,phase2,12,0,D1_1,0,0.9973887498978061,0.002611250102196604
round_2,phase1,12,0,D1_1,1,0.03907969757457028,0.9609203024254309
round_4,phase3,12,0,D1_1,1,0.2036879801733564,0.7963120198266433
round_4,phase2,12,0,D1_1,1,0.015668521817073275,0.9843314781829272
round_4,phase1,12,0,D1_1,0,0.9896208485915376,0.010379151408462536
round_1,phase3,12,0,D1_1,0,0.9999999995054694,4.945297662688791e-10
round_1,phase2,12,0,D1_1,1,0.445410288902152,0.5545897110978464
round_1,phase1,12,0,D1_1,0,0.9416284466074106,0.05837155339258826
round_3,phase3,13,1,D1_1,1,0.20223580787987439,0.7977641921201267
round_3,phase2,13,1,D1_1,1,0.024065951393869186,0.9759340486061311
round_3,phase1,13,1,D1_1,1,0.1063858945587074,0.8936141054412909
round_2,phase3,13,1,D1_1,0,0.9828322576840663,0.017167742315932398
round_2,phase2,13,1,D1_1,1,0.3867902576306381,0.6132097423693622
round_2,phase1,13,1,D1_1,0,0.9999999977878034,2.2121956407683047e-09
round_4,phase3,13,1,D1_1,1,0.07079846186920055,0.9292015381308008
round_4,phase2,13,1,D1_1,0,0.9516989973877272,0.04830100261227211
round_4,phase1,13,1,D1_1,0,0.7503278482900061,0.24967215170999424
round_1,phase3,13,1,D1_1,1,0.08075193014484902,0.9192480698551518
round_1,phase2,13,1,D1_1,1,0.42732953344845026,0.5726704665515493
round_1,phase1,13,1,D1_1,1,0.05020245738091468,0.9497975426190853
round_3,phase3,14,0,D1_1,1,0.17999187929161053,0.8200081207083892
round_3,phase2,14,0,D1_1,0,0.9993089893439068,0.0006910106560919256
round_3,phase1,14,0,D1_1,0,0.9999787684511267,2.1231548873646122e-05
round_2,phase3,14,0,D1_1,0,0.9998343487296159,0.00016565127038370805
round_2,phase2,14,0,D1_1,0,0.7859470083225848,0.21405299167741512
round_2,phase1,14,0,D1_1,1,0.02362127058217043,0.9763787294178299
round_4,phase3,14,0,D1_1,0,0.7681053780810726,0.23189462191892757
round_4,phase2,14,0,D1_1,1,0.01903043685027035,0.9809695631497313
round_4,phase1,14,0,D1_1,1,0.006295855214180677,0.9937041447858177
round_1,phase3,14,0,D1_1,0,0.7749478176965067,0.2250521823034946
round_1,phase2,14,0,D1_1,0,0.799488463704462,0.20051153629553878
round_1,phase1,14,0,D1_1,0,0.9999994894632624,5.105367385690344e-07
round_3,phase3,15,1,D1_2,1,0.03245493278092288,0.9675450672190753
round_3,phase2,15,1,D1_2,0,0.9450145973708713,0.05498540262912901
round_3,phase1,15,1,D1_2,1,0.23864820041640752,0.7613517995835923
round_2,phase3,15,1,D1_2,0,0.974730461995518,0.02526953800448301
round_2,phase2,15,1,D1_2,1,0.01758399564720004,0.9824160043528
round_2,phase1,15,1,D1_2,0,0.9999999999679758,3.2025997484436595e-11
round_4,phase3,15,1,D1_2,1,0.27919684707995285,0.7208031529200475
round_4,phase2,15,1,D1_2,1,0.2850251094493403,0.7149748905506582
round_4,phase1,15,1,D1_2,1,0.28275069408367287,0.7172493059163276
round_1,phase3,15,1,D1_2,0,0.9955533431336248,0.004446656866376952
round_1,phase2,15,1,D1_2,1,0.2457426335889167,0.7542573664110837
round_1,phase1,15,1,D1_2,1,0.4655751215963126,0.5344248784036862
round_3,phase3,16,0,D1_2,1,0.03127249086589429,0.968727509134104
round_3,phase2,16,0,D1_2,0,0.999929892968419,7.010703158447085e-05
round_3,phase1,16,0,D1_2,0,0.664341033786113,0.3356589662138869
round_2,phase3,16,0,D1_2,1,0.06779102377480944,0.9322089762251919
round_2,phase2,16,0,D1_2,0,0.9990313084312464,0.000968691568755253
round_2,phase1,16,0,D1_2,0,0.9505293685358946,0.04947063146410445
round_4,phase3,16,0,D1_2,0,0.8154543051368488,0.18454569486315262
round_4,phase2,16,0,D1_2,0,0.6123135488715093,0.38768645112848954
round_4,phase1,16,0,D1_2,1,0.013831061473181416,0.9861689385268173
round_1,phase3,16,0,D1_2,0,0.9999981214529138,1.8785470879469734e-06
round_1,phase2,16,0,D1_2,0,0.9894310221322322,0.010568977867766867
round_1,phase1,16,0,D1_2,1,0.16216569553914179,0.8378343044608584
round_3,phase3,17,0,D1_2,1,0.06713918489651607,0.9328608151034822
round_3,phase2,17,0,D1_2,0,0.9243827000367816,0.07561729996321953
round_3,phase1,17,0,D1_2,0,0.5430747330365759,0.45692526696342384
round_2,phase3,17,0,D1_2,1,0.04188112030971139,0.9581188796902875
round_2,phase2,17,0,D1_2,1,0.3040441455128948,0.6959558544871064
round_2,phase1,17,0,D1_2,0,0.99999885031027,1.1496897311234456e-06
round_4,phase3,17,0,D1_2,1,0.010121935552354359,0.9898780644476448
round_4,phase2,17,0,D1_2,0,0.9980186552100866,0.0019813447899136886
round_4,phase1,17,0,D1_2,0,0.999903090173005,9.690982699337305e-05
round_1,phase3,17,0,D1_2,0,0.9998414495621757,0.00015855043782462492
round_1,phase2,17,0,D1_2,0,0.9993415485326381,0.0006584514673629685
round_1,phase1,17,0,D1_2,1,0.027660599204517605,0.9723394007954841
round_3,phase3,18,1,D1_2,1,0.04766421425076921,0.9523357857492308
round_3,phase2,18,1,D1_2,1,0.16209069679743318,0.837909303202566
round_3,phase1,18,1,D1_2,0,0.9999615799114259,3.842008857286477e-05
round_2,phase3,18,1,D1_2,0,0.9228248130193012,0.07717518698069702
round_2,phase2,18,1,D1_2,1,0.01870945313429162,0.9812905468657078
round_2,phase1,18,1,D1_2,0,0.9104436009207455,0.08955639907925497
round_4,phase3,18,1,D1_2,0,0.6319422789349591,0.3680577210650393
round_4,phase2,18,1,D1_2,1,0.08060380020280752,0.9193961997971941
round_4,phase1,18,1,D1_2,0,0.9988434354969253,0.0011565645030758274
round_1,phase3,18,1,D1_2,0,0.8658878377936476,0.1341121622063531
round_1,phase2,18,1,D1_2,0,0.9971688183156738,0.002831181684327471
round_1,phase1,18,1,D1_2,0,0.94683231025448,0.053167689745519435
round_3,phase3,19,1,D1_2,0,0.9723846749033578,0.02761532509664292
round_3,phase2,19,1,D1_2,0,0.9581323718549724,0.04186762814502671
round_3,phase1,19,1,D1_2,1,0.40274531321647666,0.597254686783525
round_2,phase3,19,1,D1_2,0,0.5627220628803761,0.4372779371196232
round_2,phase2,19,1,D1_2,1,0.18838140694975525,0.8116185930502453
round_2,phase1,19,1,D1_2,1,0.4552707285405481,0.5447292714594526
round_4,phase3,19,1,D1_2,0,0.9998184197313512,0.0001815802686499468
round_4,phase2,19,1,D1_2,0,0.9799521188413048,0.020047881158696736
round_4,phase1,19,1,D1_2,1,0.13992508496164494,0.8600749150383562
round_1,phase3,19,1,D1_2,1,0.12436946759659036,0.8756305324034079
round_1,phase2,19,1,D1_2,0,0.8395007705703347,0.16049922942966685
round_1,phase1,19,1,D1_2,0,0.6161067400481729,0.3838932599518257
round_3,phase3,20,0,D1_2,1,0.013860015716217769,0.9861399842837818
round_3,phase2,20,0,D1_2,0,0.8556359036251854,0.14436409637481545
round_3,phase1,20,0,D1_2,0,0.9999755664612143,2.4433538785694324e-05
round_2,phase3,20,0,D1_2,0,0.5482348660283088,0.45176513397169055
