Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
round_2,phase1,11,0,D1_1,0,1.0,0.0,0.0,7.4799177e-16,2.8454338e-37,0.0
round_4,phase3,11,0,D1_1,2,9.273387e-25,2.6829927e-26,0.9999924,3.2962806e-30,0.0,7.710237e-06
round_4,phase2,11,0,D1_1,3,1.0569921e-12,2.4000158e-33,7.1442825e-15,1.0,2.5e-44,0.0
round_4,phase1,11,0,D1_1,4,7.850907e-11,1.4531391e-37,0.0,0.0,1.0,2.9350552e-20
round_1,phase3,11,0,D1_1,1,1.542062e-08,1.0,0.0,0.0,2.002527e-12,5.6751944e-34
round_1,phase2,11,0,D1_1,2,2.336597e-19,0.0,1.0,3.0759068e-08,1.3e-43,0.0
round_1,phase1,11,0,D1_1,0,0.9999738,1.8788669e-37,0.0,2.09e-43,2.6433074e-05,0.0
round_3,phase3,12,0,D1_1,0,1.0,1.8816494e-30,0.0,0.0,4.9454385e-10,0.0
round_3,phase2,12,0,D1_1,0,1.0,0.0,0.0,4e-45,6.3242575e-19,0.0
round_3,phase1,12,0,D1_1,0,1.0,0.0,0.0,3.0595476e-15,3.68798e-40,0.0
round_2,phase3,12,0,D1_1,1,7.9360426e-08,1.0,0.0,0.0,8.9378915e-08,0.0
round_2,phase2,12,0,D1_1,2,2.5768633e-27,0.0,1.0,1.2843226e-10,6.0087804e-35,0.0
round_2,phase1,12,0,D1_1,3,4.4468254e-13,2.2353489e-23,8.289831e-35,1.0,1e-45,1.9092591e-26
round_4,phase3,12,0,D1_1,4,4.6087738e-11,1.1058631e-26,0.0,0.0,1.0,2.1451507e-31
round_4,phase2,12,0,D1_1,0,1.0,0.0,0.0,1.1776264e-13,2.7605136e-12,3.3428016e-24
round_4,phase1,12,0,D1_1,1,1.0701393e-08,1.0,1.3420767e-26,0.0,1.3070154e-37,0.0
round_1,phase3,12,0,D1_1,2,7.873841e-21,7.802551e-23,1.0,2.937151e-19,0.0,6.83085e-40
round_1,phase2,12,0,D1_1,2,8.84547e-29,7.6277384e-23,1.0,3.1479595e-24,0.0,7.8094095e-28
round_1,phase1,12,0,D1_1,4,0.00032115192,3.506746e-22,0.0,0.0,0.9996787,0.0
round_3,phase3,13,1,D1_1,0,1.0,1.06e-43,1.80419e-40,2.812087e-17,6.1123766e-27,0.0
round_3,phase2,13,1,D1_1,0,0.9999714,0.0,0.0,2.8933624e-05,1.1114956e-35,0.0
round_3,phase1,13,1,D1_1,4,1.1465968e-05,5.1039502e-33,0.0,0.0,0.99998856,0.0
round_2,phase3,13,1,D1_1,3,1.3736261e-10,0.0,4.8132633e-33,1.0,0.0,0.0
round_2,phase2,13,1,D1_1,5,2.7735137e-11,3.6317e-41,2.349243e-27,2.425582e-05,5.847739e-17,0.99997616
round_2,phase1,13,1,D1_1,2,2.8822453e-25,4.106846e-29,0.9999981,1.8238068e-29,0.0,1.888466e-06
round_4,phase3,13,1,D1_1,4,0.025722248,1.7656166e-31,0.0,0.0,0.97427744,0.0
round_4,phase2,13,1,D1_1,3,7.1479916e-22,0.0,9.410522e-16,1.0,3.0512535e-27,7.387435e-19
round_4,phase1,13,1,D1_1,4,5.319886e-07,6.645025e-13,0.0,0.0,0.99999905,0.0
