Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,pa_score,na_score,emotional_cluster_id,emotional_label
round_1,phase1,13,1,D1_1,0,0.8941501700658974,0.0393232116175232,0.0665266183165801,3.4,1.1666666666666667,1,Alert/Anxious
round_3,phase3,14,0,D1_1,1,0.0700111146045737,0.9297376665754769,0.0002512188199491,1.4,1.3333333333333333,2,Drained/Disengaged
round_3,phase2,14,0,D1_1,1,3.58717002309482e-06,0.8989580132748473,0.1010383995551301,1.4,1.8333333333333333,3,Tense/Stressed
round_3,phase1,14,0,D1_1,2,5.241563157158684e-08,0.0003519640513969,0.9996479835329704,2.2,1.0,0,Engaged/Calm
round_2,phase3,14,0,D1_1,2,5.398562430313209e-10,2.1819925390144683e-13,0.9999999994599272,1.6,1.0,2,Drained/Disengaged
round_2,phase2,14,0,D1_1,2,0.0164436069047231,1.0565269266207934e-06,0.9835553365683516,3.0,1.3333333333333333,1,Alert/Anxious
round_2,phase1,14,0,D1_1,1,0.017938046137732,0.9790154950491836,0.0030464588130845,1.6,1.3333333333333333,2,Drained/Disengaged
round_4,phase3,14,0,D1_1,1,0.0107025272122756,0.9892888369674196,8.635820303693408e-06,1.2,1.0,2,Drained/Disengaged
round_4,phase2,14,0,D1_1,0,0.5937816777344556,0.3646976684683304,0.0415206537972142,1.8,1.5,2,Drained/Disengaged
round_4,phase1,14,0,D1_1,1,0.0548256081399066,0.9431234489068754,0.002050942953217,1.6,1.3333333333333333,2,Drained/Disengaged
round_1,phase3,14,0,D1_1,2,0.0031002689071267,5.190620849615165e-19,0.9968997310928748,1.6,1.1666666666666667,2,Drained/Disengaged
round_1,phase2,14,0,D1_1,0,0.6018173562357796,0.0180141767907497,0.3801684669734704,2.6,2.1666666666666665,3,Tense/Stressed
round_1,phase1,14,0,D1_1,0,0.8193648462532881,2.414166503264992e-12,0.1806351537442968,1.8,1.3333333333333333,2,Drained/Disengaged
round_3,phase3,15,1,D1_2,1,0.0305878548254226,0.9689904861109324,0.0004216590636441,1.2,1.3333333333333333,2,Drained/Disengaged
round_3,phase2,15,1,D1_2,2,0.1304165757836906,1.8525053667113235e-08,0.8695834056912554,3.8,2.0,3,Tense/Stressed
round_3,phase1,15,1,D1_2,0,0.820912552840953,0.1589039570593027,0.0201834900997431,1.6,1.0,2,Drained/Disengaged
round_2,phase3,15,1,D1_2,2,3.32689172805433e-05,3.954545341913558e-11,0.9999667310431732,1.4,1.1666666666666667,2,Drained/Disengaged
round_2,phase2,15,1,D1_2,2,0.0028405100465194,0.1855187083328018,0.8116407816206788,2.4,2.3333333333333335,3,Tense/Stressed
round_2,phase1,15,1,D1_2,0,0.649448095186462,5.6053475155092846e-08,0.3505518487600636,2.8,1.1666666666666667,1,Alert/Anxious
round_4,phase3,15,1,D1_2,1,0.0014715418768099,0.9263248172531436,0.072203640870048,2.2,2.0,3,Tense/Stressed
round_4,phase2,15,1,D1_2,2,0.0857086415926205,0.0001112011561232,0.914180157251256,3.2,3.1666666666666665,3,Tense/Stressed
round_4,phase1,15,1,D1_2,0,0.9906338061967652,0.0080106551799384,0.0013555386232955,3.2,1.3333333333333333,1,Alert/Anxious
round_1,phase3,15,1,D1_2,2,0.0031886317998376,0.0045724285351743,0.992238939664988,1.6,0.8333333333333334,0,Engaged/Calm
round_1,phase2,15,1,D1_2,2,8.682025189132339e-05,0.0119077814805258,0.9880053982675814,3.4,1.5,1,Alert/Anxious
round_1,phase1,15,1,D1_2,2,0.3573722975798604,2.3286500080883066e-07,0.6426274695551387,3.2,1.0,0,Engaged/Calm
round_3,phase3,16,0,D1_2,1,0.0123147411264847,0.9874307188369936,0.0002545400365214,3.4,0.8333333333333334,0,Engaged/Calm
round_3,phase2,16,0,D1_2,2,3.833954428610583e-06,5.166069080524754e-25,0.9999961660455724,3.8,1.0,0,Engaged/Calm
round_3,phase1,16,0,D1_2,0,0.933581809910568,0.0625279375478004,0.0038902525416303,2.8,0.8333333333333334,0,Engaged/Calm
round_2,phase3,16,0,D1_2,1,0.0092752867629072,0.9892275139327192,0.0014971993043744,2.2,0.8333333333333334,0,Engaged/Calm
round_2,phase2,16,0,D1_2,2,0.0340439564492564,4.221089553926147e-07,0.9659556214417891,2.2,1.3333333333333333,1,Alert/Anxious
round_2,phase1,16,0,D1_2,0,0.9933745898004582,0.0054109342030314,0.0012144759965102,2.2,1.0,0,Engaged/Calm
