Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_4,phase1,4,0,D1_4,0,0.8603798108569602,0.08093975387392043,0.05868043526911816
round_1,phase3,4,0,D1_4,0,0.9183138641937185,0.017419049260339655,0.06426708654594065
round_1,phase2,4,0,D1_4,0,0.5591672447697746,0.010068122081755183,0.43076463314847
round_1,phase1,4,0,D1_4,1,0.11921739632069134,0.877446111032196,0.0033364926471119377
round_3,phase3,5,0,D1_6,1,0.12917078677518076,0.7295950879858283,0.1412341252389895
round_3,phase2,5,0,D1_6,2,1.9441637192871762e-05,2.6989496560094857e-05,0.9999535688662474
round_3,phase1,5,0,D1_6,1,0.10324922499113544,0.8797266419963148,0.01702413301254933
round_2,phase3,5,0,D1_6,0,0.9874140693130503,0.0005015219233050611,0.012084408763643969
round_2,phase2,5,0,D1_6,0,0.8310242962964035,2.122760691730758e-05,0.16895447609668032
round_2,phase1,5,0,D1_6,0,0.8895861467761331,4.541318611048493e-09,0.11041384868254571
round_4,phase3,5,0,D1_6,2,1.5196462159314276e-12,8.255011254405619e-08,0.9999999174483668
round_4,phase2,5,0,D1_6,2,0.14902972512696763,3.301884155048666e-06,0.850966972988878
round_4,phase1,5,0,D1_6,0,0.9999995461848492,9.739616335131149e-11,4.5371775601511184e-07
round_1,phase3,5,0,D1_6,1,0.00554319732272755,0.9907326118521346,0.003724190825138787
round_1,phase2,5,0,D1_6,2,0.49167768962163255,0.008139601538908409,0.50018270883946
round_1,phase1,5,0,D1_6,1,0.0018588423652098045,0.9856757487280661,0.01246540890672586
round_3,phase3,6,1,D1_6,2,8.302242430099141e-15,1.521363724917702e-09,0.9999999984786285
round_3,phase2,6,1,D1_6,1,0.06454071501389765,0.9345122140315223,0.000947070954579491
round_3,phase1,6,1,D1_6,0,0.9996468860465277,2.568267887858392e-24,0.00035311395346989695
round_2,phase3,6,1,D1_6,0,0.9711726594058717,0.004535488974952465,0.024291851619177046
round_2,phase2,6,1,D1_6,1,0.3491834477094738,0.6420183959461415,0.0087981563443864
round_2,phase1,6,1,D1_6,1,0.0016100585212333888,0.9513419533899091,0.047047988088856955
