PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Round,Phase,Individual,Puzzler,Cohort,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
2.0223791121092156,-3.1286341000694247,1.4292675080055515,-0.3303906649793404,0.8227064844502296,-1.0229526213461428,0.7315384609330661,-0.3119773189244413,0.5583194349145121,-0.5079422676812545,-0.11515516603676713,-2.3854992662109393,-1.2465600063560025,-0.4244499844014688,1.5815451987754041,0.819027551379437,round_4,phase2,3,1,D1_4,0.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0
-1.9940659986387266,-1.058480101364842,0.06160843998256256,-1.5319026883202895,-0.2285081072617144,-0.35659511310752173,1.3151204706931539,0.1699961875108684,-0.43797594022515857,0.9803560437820341,1.2039233275300478,-1.0629154592570187,2.224172667069072,-0.8147509581387112,-1.0318612702491772,0.10743808802128363,round_4,phase1,3,1,D1_4,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0
2.796647834499974,-1.3367649905617587,-0.059403474534907796,1.0102375700474377,0.1945484172600917,1.50667971769385,0.22393347391334306,1.3998213698264628,-1.2039789282976043,1.1936176280050645,-1.0337470280673389,0.7025723840084105,0.6289952682733008,0.30939084715666265,-1.3646129690804456,-0.9913550083928248,round_1,phase3,3,1,D1_4,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0
4.420166268878931,1.4340526293393854,1.5566507770065157,0.9734446240192804,2.133322819937461,1.3901742174963534,0.19762858347619,0.9860854175110083,1.227865166948981,0.1748498031252368,-0.6102202352259969,-0.26440400275724224,-1.68983243672912,-1.196888656009945,0.5045568616361983,-0.8029864178049757,round_1,phase2,3,1,D1_4,0.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,5.0
0.5868553429090295,-0.2696137898928991,-0.4844694270587272,2.4908599196987646,1.0134108542856695,-1.797054178229585,1.3620062011666947,-1.0841782521193444,-0.09534918046949388,1.5203606350998025,-0.5316884895402741,2.0767382382954764,-0.5532113876935006,-2.559978071551293,-0.7066703699013515,0.2689927910036617,round_1,phase1,3,1,D1_4,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0
-1.7241940164618181,0.5485160579078687,-5.566276025302608,-0.8271456155293434,3.2330458915869347,1.313541573149156,-2.0327005668142037,0.6578737047599089,1.4050472917247154,-2.153100513472241,1.738556987862279,0.4040590141130388,-1.5399185367762704,-0.07960813720287484,1.5056353504897324,0.10776335822162715,round_3,phase3,4,0,D1_4,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0
4.593907800161107,1.1253817918743807,-0.9465593000642243,-1.740001590170599,-0.9824916358447507,-1.2191869314752022,-0.5090083771286448,-3.3208117140504383,-0.2321617706963756,-0.1874276426386402,1.1522201594276524,0.18974877147006813,1.568568871029672,-0.22021555970797793,0.08157696803467036,0.6971131373784953,round_3,phase2,4,0,D1_4,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0
-3.5199132089272203,-0.7422824152147584,0.1652621209954741,-0.9821192636224804,0.14963620031674654,0.13528068471895352,-0.017050931357144063,0.1917812671293215,1.605036632700894,0.8616039357300939,-1.146019366058111,1.2263167396789465,1.0867997642539033,-0.15396061084834575,1.0527216387942107,-1.8658275690798216,round_3,phase1,4,0,D1_4,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,4.0
-2.582934763942574,-2.3846505060563294,0.33231064835598045,-1.6211882681553145,-0.8899079704019841,1.3298018800246407,-0.11054851516498992,0.7033491721581488,-1.185888652673108,-0.22757367955044563,1.24723908349465,0.8574540580907493,0.375335991744155,-1.244992662473051,0.6475707002838091,-1.5682350294620537,round_2,phase3,4,0,D1_4,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0
2.914038902061294,1.2691922349373614,0.4019799864735746,0.4608990490444568,-2.7698496308459584,1.032867513345359,-1.6081708216271438,-1.044418272038794,-0.211503337142273,-1.3283094245431935,-1.9524051723065112,-0.4851926916421852,0.11569575318641614,-0.5675796963748537,-0.45949058696426065,0.49177491445199945,round_2,phase2,4,0,D1_4,0.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,5.0,3.0
